,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind speed,Country,Date
0,bluff,-46.6,168.33,67.26199999999996,72,100,1.34,NZ,1608245755
1,barentsburg,,,,,,,,
2,avarua,-21.21,-159.78,84.46999999999997,79,100,4.1,CK,1608245758
3,mys shmidta,,,,,,,,
4,mount isa,-20.73,139.5,88.06999999999996,55,92,3.6,AU,1608245760
5,benguela,-12.58,13.41,72.53599999999997,75,71,1.22,AO,1608245761
6,port elizabeth,-33.92,25.57,66.46999999999997,93,90,1.5,ZA,1608245763
7,umm lajj,25.02,37.27,68.97200000000004,55,37,4.88,SA,1608245764
8,kruisfontein,-34,24.73,66.27200000000005,85,90,0.45,ZA,1608245765
9,haibowan,,,,,,,,
10,baruun-urt,46.68,113.28,-12.405999999999977,83,0,4.04,MN,1608245767
11,chicama,-7.84,-79.15,68.26999999999995,88,99,4.6,PE,1608245769
12,ushuaia,-54.8,-68.3,43.06999999999996,75,40,17,AR,1608245770
13,tiznit,29.58,-9.5,56.030000000000044,55,0,3.13,MA,1608245771
14,rikitea,-23.12,-134.97,77.558,75,90,7.94,PF,1608245772
15,butaritari,3.07,172.79,81.78800000000004,80,96,5.82,KI,1608245774
16,pisco,-13.7,-76.22,70.06999999999996,77,0,10.3,PE,1608245677
17,hami,42.8,93.45,15.583999999999993,76,100,1.2,CN,1608245776
18,ugoofaaru,5.67,73,80.97799999999997,73,26,1.15,MV,1608245777
19,puerto carreno,6.19,-67.49,80.18599999999998,81,90,1.7,CO,1608245779
20,udachnyy,66.42,112.4,-30.72999999999999,66,0,1.42,RU,1608245780
21,mar del plata,-38,-57.56,88.06999999999996,33,0,5.1,AR,1608245515
22,korla,41.76,86.15,16.79000000000002,89,0,0.42,CN,1608245782
23,new norfolk,-42.78,147.06,65.26400000000004,67,82,1.79,AU,1608245783
24,jardim,-21.48,-56.14,82.58000000000004,64,67,2,BR,1608245714
25,okandja,,,,,,,,
26,cururupu,-1.83,-44.87,77.77400000000002,87,74,1.76,BR,1608245734
27,georgetown,5.41,100.34,75.46999999999997,94,20,1,MY,1608245788
28,albany,42.6,-73.97,20.26400000000003,78,86,1.66,US,1608245789
29,punta arenas,-53.15,-70.92,52.069999999999965,50,0,12.9,CL,1608245790
30,shahdadkot,27.85,67.91,53.24000000000002,39,6,1.08,PK,1608245792
31,halalo,,,,,,,,
32,belushya guba,,,,,,,,
33,sao filipe,14.9,-24.5,73.25600000000003,75,100,5.39,CV,1608245795
34,kudat,6.88,116.85,80.86999999999996,83,20,3.1,MY,1608245796
35,tiksi,71.69,128.87,-14.512000000000008,89,100,1.95,RU,1608245798
36,asosa,10.07,34.53,65.24600000000005,43,29,2.08,ET,1608245799
37,worthing,50.81,-0.37,53.27599999999999,88,100,1.34,GB,1608245800
38,hobart,-42.88,147.33,65.26400000000004,82,75,3.6,AU,1608245542
39,taolanaro,,,,,,,,
40,palabuhanratu,,,,,,,,
41,namatanai,-3.67,152.43,83.04800000000003,77,71,2.65,PG,1608245805
42,cherskiy,68.75,161.3,-22.179999999999993,87,70,2.12,RU,1608245806
43,mataura,-46.19,168.86,67.26199999999996,72,100,1.34,NZ,1608245807
44,grand river south east,,,,,,,,
45,orlik,52.52,99.83,-5.800000000000004,82,85,1.37,RU,1608245809
46,babol,36.55,52.68,50.50399999999995,87,100,1.01,IR,1608245811
47,saskylakh,71.92,114.08,-33.07000000000001,82,63,1.6,RU,1608245812
48,kanbe,16.71,96,73.66999999999996,88,20,1,MM,1608245813
49,paamiut,61.99,-49.67,29.84000000000002,94,83,9.41,GL,1608245814
50,saleaula,,,,,,,,
51,maragogi,-9.01,-35.22,79.26799999999999,77,0,4.97,BR,1608245788
52,hasaki,35.73,140.83,26.86999999999996,79,20,0.5,JP,1608245818
53,hamilton,39.18,-84.53,33.27799999999996,86,90,2.6,US,1608245819
54,bandarbeyla,9.49,50.81,76.65800000000002,85,100,8.99,SO,1608245820
55,castro,-24.79,-50.01,65.28200000000001,95,30,0.51,BR,1608245822
56,ponta delgada,37.73,-25.67,62.86999999999996,93,75,7.7,PT,1608245665
57,torbay,47.67,-52.73,30.46999999999996,92,90,2.6,CA,1608245824
58,tuktoyaktuk,69.45,-133.04,-12.72999999999999,75,90,6.2,CA,1608245825
59,suzun,53.78,82.31,13.711999999999954,93,100,4.19,RU,1608245826
60,hermanus,-34.42,19.23,62.67200000000004,72,9,5.69,ZA,1608245828
61,katsuura,35.13,140.3,37.66999999999996,59,20,3.1,JP,1608245829
62,pushkino,56.02,37.87,34.26799999999999,80,75,7,RU,1608245830
63,burkhala,,,,,,,,
64,kremenki,54.88,37.13,34.06999999999996,100,100,4,RU,1608245832
65,iqaluit,63.75,-68.51,-0.12999999999998835,70,75,6.2,CA,1608245834
66,diapaga,12.07,1.79,76.316,19,65,2.82,BF,1608245835
67,ambatondrazaka,-17.83,48.42,67.02799999999996,89,33,1.36,MG,1608245836
68,kasamwa,-2.85,32.43,66.59600000000006,79,100,1.43,TZ,1608245837
69,yellowknife,62.46,-114.35,-31.737999999999992,73,75,2.6,CA,1608245582
70,san borja,-14.82,-66.85,82.68800000000005,70,17,1.54,BO,1608245839
71,christchurch,-43.53,172.63,67.26199999999996,72,79,8.2,NZ,1608245838
72,busselton,-33.65,115.33,60.27799999999996,75,4,0.89,AU,1608245842
73,barrow,71.29,-156.79,-9.129999999999988,76,1,7.7,US,1608245843
74,tual,-5.67,132.75,84.434,76,100,7.25,ID,1608245844
75,jamestown,42.1,-79.24,29.26400000000003,79,90,3.6,US,1608245700
76,bargal,,,,,,,,
77,gobabis,-22.45,18.97,73.66999999999996,60,6,1.5,NA,1608245848
78,bengkulu,-3.8,102.27,75.05600000000004,85,100,2.09,ID,1608245849
79,gonzales,30.24,-90.92,52.069999999999965,68,1,2.6,US,1608245568
80,vostok,46.49,135.88,-8.283999999999992,92,99,2.19,RU,1608245851
81,flinders,-34.58,150.86,86.26999999999995,60,17,3.13,AU,1608245852
82,kapaa,22.08,-159.32,82.66999999999996,65,1,7.2,US,1608245854
83,bredasdorp,-34.53,20.04,53.86999999999996,71,0,2.1,ZA,1608245855
84,washington,47.5,-120.5,41.26999999999996,84,43,0.45,US,1608245820
85,marcona,,,,,,,,
86,sitka,57.05,-135.33,39.469999999999956,86,90,9.8,US,1608245858
87,qui nhon,13.77,109.23,74.73200000000003,88,97,7.78,VN,1608245859
88,arraial do cabo,-22.97,-42.03,79.06999999999996,74,75,5.1,BR,1608245861
89,cabedelo,-6.98,-34.83,80.86999999999996,78,20,4.6,BR,1608245862
90,port macquarie,-31.43,152.92,86.26999999999995,65,12,0.45,AU,1608245682
91,cidreira,-30.18,-50.21,72.44600000000005,84,20,7.62,BR,1608245864
92,saint-francois,46.42,3.91,43.26799999999999,93,20,0.95,FR,1608245865
93,lebu,-37.62,-73.65,57.127999999999965,77,100,6.38,CL,1608245867
94,kurilsk,45.23,147.88,27.26600000000001,91,99,6.87,RU,1608245868
95,saint-philippe,-21.36,55.77,75.46999999999997,88,75,8.2,RE,1608245869
96,atuona,-9.8,-139.03,79.12400000000002,72,22,6.9,PF,1608245870
97,talara,-4.58,-81.27,70.89800000000002,82,40,5.47,PE,1608245871
98,abomsa,9.98,39.98,61.32200000000004,47,38,1.96,ET,1608245873
99,bathsheba,13.22,-59.52,80.86999999999996,78,40,6.7,BB,1608245874
100,abong mbang,3.98,13.18,68.82799999999997,66,16,1.32,CM,1608245875
101,zhigansk,66.77,123.37,-40.55800000000001,81,90,0.88,RU,1608245876
102,amderma,,,,,,,,
103,sri aman,1.24,111.46,73.66999999999996,100,100,1.06,MY,1608245878
104,hilo,19.73,-155.09,79.06999999999996,69,20,3.1,US,1608245880
105,zhangjiakou,40.81,114.88,7.322000000000035,80,9,3.23,CN,1608245881
106,joshimath,30.57,79.57,33.76400000000003,52,0,2.79,IN,1608245882
107,kavieng,-2.57,150.8,85.55000000000001,71,84,3.72,PG,1608245884
108,illoqqortoormiut,,,,,,,,
109,podor,16.65,-14.96,79.06999999999996,26,0,2.1,MR,1608245886
110,qaanaaq,77.48,-69.36,11.659999999999979,83,100,2.31,GL,1608245888
111,college,64.86,-147.8,-9.129999999999988,56,20,3.6,US,1608245889
112,katete,-0.78,29.75,65.28200000000001,72,98,1.24,UG,1608245890
113,mackay,-21.15,149.2,86.26999999999995,78,90,1,AU,1608245891
114,thompson,55.74,-97.86,-7.329999999999991,83,90,2.6,CA,1608245892
115,tasiilaq,65.61,-37.64,19.66999999999996,67,19,1.5,GL,1608245893
116,bilma,18.69,12.92,64.81400000000004,28,1,3.19,NE,1608245895
117,faya,18.39,42.45,55.66999999999996,93,20,2.1,SA,1608245896
118,ahipara,-35.17,173.17,70.15999999999998,61,8,0.46,NZ,1608245897
119,hobyo,5.35,48.53,79.44800000000004,79,83,6.29,SO,1608245898
120,provideniya,64.38,-173.3,14.269999999999957,78,75,13,RU,1608245899
121,ilulissat,69.22,-51.1,17.86999999999996,72,62,4.1,GL,1608245901
122,isangel,-19.55,169.27,81.21199999999996,64,4,6.08,VU,1608245902
123,puerto ayora,-0.74,-90.35,77.26999999999995,73,0,8.7,EC,1608245903
124,ust-kuyga,70.02,135.6,-29.740000000000023,83,100,1.59,RU,1608245904
125,dikson,73.51,80.55,-22.179999999999993,86,100,10.09,RU,1608245905
126,carnarvon,-24.87,113.63,71.86999999999996,88,0,7.7,AU,1608245907
127,kirakira,-10.45,161.92,87.16999999999996,63,38,1.05,SB,1608245908
128,kieta,-6.22,155.63,84.65,72,64,3.45,PG,1608245909
129,north bend,43.41,-124.22,52.26799999999999,81,90,4.1,US,1608245910
130,saint-augustin,51.23,-58.65,25.501999999999974,94,99,4.69,CA,1608245912
131,vaitupu,,,,,,,,
132,killini,,,,,,,,
133,taoudenni,22.68,-3.98,66.90199999999999,27,0,4.12,ML,1608245915
134,acapulco,16.86,-99.89,82.66999999999996,74,5,4.1,MX,1608245916
135,meadow lake,34.8,-106.54,44.27599999999999,38,90,2.55,US,1608245917
136,karasburg,-28.02,18.75,68.342,32,0,2.24,NA,1608245919
137,babanusah,,,,,,,,
138,bilibino,68.05,166.44,-13.629999999999988,86,10,1.96,RU,1608245921
139,sao jose de piranhas,-7.12,-38.5,83.60600000000002,51,82,0.6,BR,1608245922
140,hihifo,,,,,,,,
141,besuki,-7.73,113.7,78.27799999999996,83,100,1.2,ID,1608245925
142,lompoc,34.64,-120.46,57.469999999999956,67,40,9.3,US,1608245648
143,nouadhibou,20.93,-17.03,66.46999999999997,72,0,9.3,MR,1608245927
144,puerto cortes,,,,,,,,
145,calama,-22.47,-68.93,66.21799999999999,28,18,6.47,CL,1608245785
146,yamada,39.47,141.95,31.261999999999954,85,2,2,JP,1608245931
147,salalah,17.02,54.09,75.46999999999997,69,20,1.5,OM,1608245932
148,touros,-5.2,-35.46,80.86999999999996,78,40,6.2,BR,1608245933
149,geraldton,-28.77,114.6,77.26999999999995,38,0,6.2,AU,1608245925
150,norden,53.6,7.2,46.274000000000015,90,24,3.13,DE,1608245651
151,richards bay,-28.78,32.04,73.68800000000005,82,100,0.29,ZA,1608245906
152,jumla,29.27,82.18,32.306000000000026,54,0,1.72,NP,1608245938
153,tautira,-17.73,-149.15,86.26999999999995,62,40,1.5,PF,1608245939
154,cayenne,4.93,-52.33,79.06999999999996,83,100,2.6,GF,1608245940
